序号,中文名,英文名,头衔,所属组织,核心影响力
11,拉塞尔·沃特,Russell Vought,管理与预算办公室主任 (Director of OMB),管理与预算办公室,沃特是行政国家解构行动的战术指挥官。作为“2025计划”（Project 2025）的主要贡献者，他利用OMB的监管审查权，冻结并废除大量联邦法规。他推动将数万名公务员重新分类为“F附表”（Schedule F）雇员，使其失去终身职位保障，从而能够被政治任命者替换。他是将保守派智库理论转化为行政现实的关键人物 9。
12,霍华德·卢特尼克,Howard Lutnick,商务部长 (Secretary of Commerce),美国商务部,卢特尼克从华尔街巨头（Cantor Fitzgerald CEO）转型为美国工业的首席推销员。他掌管着关税大棒和出口管制清单，特别是在半导体和人工智能领域对中国的封锁。他的角色是将贸易政策武器化，迫使全球供应链重新通过美国或其盟友网络布局 13。
13,道格·伯格姆,Doug Burgum,内政部长 (Secretary of the Interior),美国内政部,伯格姆负责落实“能源主导”战略中的土地利用部分。他大幅增加了联邦土地上的石油和天然气租赁，缩减国家纪念区范围，并简化采矿许可程序。他的目标是最大化美国自然资源的开采，以降低能源成本并增加出口 13。
14,克里斯·赖特,Chris Wright,能源部长 (Secretary of Energy),美国能源部,作为压裂油田服务公司的高管，赖特是化石燃料的坚定捍卫者。他正在系统性地拆解拜登时代的绿色能源补贴和贷款项目，将资金转向核能、天然气和碳捕获技术。他公开质疑气候危机的紧迫性，致力于消除阻碍化石燃料生产的监管障碍 18。
15,布鲁克·罗林斯,Brooke Rollins,农业部长 (Secretary of Agriculture),美国农业部,罗林斯是特朗普长期的国内政策顾问。在农业部，她不仅关注传统的农业补贴，还将重点放在农村地区的经济复兴上，这是特朗普选民基础的核心。她面临的挑战是在贸易战可能引发的报复性关税中保护美国农民的利益，同时推动农业去监管 13。
16,小罗伯特·F·肯尼迪,Robert F. Kennedy Jr.,卫生与公众服务部部长 (Secretary of HHS),美国卫生与公众服务部,肯尼迪的任命是对此前公共卫生共识的彻底颠覆。他发起了“让美国再次健康”（Make America Healthy Again）运动，挑战疫苗强制令，审查食品添加剂标准，并试图将联邦卫生资金从制药巨头转向替代疗法研究。他的存在引发了HHS内部科学家的大规模离职，但也赢得了对传统医疗体系不信任的民众的支持 9。
17,汤姆·霍曼,Tom Homan,“边境沙皇” / 高级顾问 (Border Czar / Senior Advisor),白宫 / 国土安全部,尽管不是内阁部长，霍曼实际上掌控着美国的边境执法机器。作为前ICE代理局长，他全权负责执行美国历史上最大规模的驱逐行动。他协调DHS、司法部甚至国防部的资源，在此问题上拥有总统的直接授权，其权力往往凌驾于部门首长之上 9。
18,克里斯蒂·诺姆,Kristi Noem,国土安全部部长 (Secretary of Homeland Security),美国国土安全部,诺姆负责DHS的庞大官僚机构，专注于物理边境墙的建设和内部执法的强化。她与霍曼密切合作，但侧重于部门的日常运营和预算调配，确保大规模驱逐行动的后勤保障 9。
19,埃隆·马斯克,Elon Musk,"政府效率部专员/顾问 (Commissioner, DOGE)",政府效率部 (Department of Government Efficiency - DOGE),马斯克在2025-2026年扮演着史无前例的“超级顾问”角色。虽然DOGE并非法定内阁部门，但马斯克利用其与特朗普的亲密关系和庞大的公众影响力，推动了数万亿美元的预算削减建议。他的影响力渗透到AI监管、太空探索（通过SpaceX）和电动车政策（通过Tesla），实际上实现了商业利益与国家政策的深度绑定 9。
20,维韦克·拉马斯瓦米,Vivek Ramaswamy,"政府效率部专员/顾问 (Commissioner, DOGE)",政府效率部,拉马斯瓦米是削减政府开支的理论家和推销员。他与马斯克搭档，利用其在生物技术和金融领域的背景，设计具体的裁员和机构撤并方案。他频繁在媒体上为紧缩政策辩护，是行政当局反官僚主义叙事的主要代言人 9。
21,约翰·图恩,John Thune,参议院多数党领袖 (Senate Majority Leader),美国参议院 (R-SD),接替米奇·麦康奈尔后，图恩面临着平衡MAGA激进派和传统共和党人的艰巨任务。他的首要任务是快速确认特朗普的行政和司法提名，包括那些极具争议的人选。他承诺参议院运作的“民主化”，给予普通参议员更多修正案权利，以此换取党内的团结 28。
22,迈克·克拉波,Mike Crapo,"参议院财政委员会主席 (Chairman, Senate Finance Committee)",美国参议院 (R-ID),克拉波掌握着华盛顿最具权势的委员会之一，管辖税收、贸易和福利项目。他是2025年底到期的《减税与就业法案》（TCJA）延期和扩展的关键架构师。在贸易方面，他负责将特朗普的关税政策转化为立法支持，同时试图减轻其对农业州的冲击 31。
23,蒂姆·斯科特,Tim Scott,"参议院银行、住房和城市事务委员会主席 (Chairman, Senate Banking Committee)",美国参议院 (R-SC),作为该委员会首位黑人主席，斯科特致力于推动金融包容性和“机会特区”立法。他在2026年的重点是放松对加密货币的监管（由Cynthia Lummis主导小组委员会）以及通过其《住房之路法案》（ROAD to Housing Act）来解决住房可负担性问题，主张通过去监管而非补贴来增加供应 34。
24,泰德·克鲁兹,Ted Cruz,"参议院商业、科学和交通委员会主席 (Chairman, Senate Commerce Committee)",美国参议院 (R-TX),克鲁兹不仅负责监管大型科技公司，还掌管着航空航天政策。他与埃隆·马斯克关系密切，大力推动商业航天的去监管化，并主导对社交媒体平台内容审查政策的国会调查。他是硅谷自由派在国会山最大的敌人 37。
25,罗杰·威克,Roger Wicker,"参议院军事委员会主席 (Chairman, Senate Armed Services Committee)",美国参议院 (R-MS),威克代表了传统的防务鹰派。尽管特朗普政府倾向于孤立主义，威克依然推动增加国防预算，特别是在海军造船和核武库现代化方面。他在维持美国对俄遏制和对华军事准备方面起到了立法层面的压舱石作用 37。
26,林赛·格雷厄姆,Lindsey Graham,"参议院预算委员会主席 (Chairman, Senate Budget Committee)",美国参议院 (R-SC),格雷厄姆掌控着预算协调程序（Reconciliation），这是共和党绕过民主党“阻布”（Filibuster）通过税改和削减开支法案的唯一途径。他在平衡特朗普的民粹主义支出承诺（如不削减社保）与财政鹰派的减赤要求之间扮演着关键的协调者角色 37。
27,查克·格拉斯利,Chuck Grassley,"参议院司法委员会主席 (Chairman, Senate Judiciary Committee)",美国参议院 (R-IA),现年92岁的格拉斯利再次执掌司法委员会，负责确立特朗普提名的联邦法官。他的目标是不仅填补所有空缺，还要通过立法手段限制联邦调查局（FBI）和司法部的政治权力，支持邦迪部长的清理行动 39。
28,吉姆·里施,Jim Risch,"参议院外交关系委员会主席 (Chairman, Senate Foreign Relations Committee)",美国参议院 (R-ID),里施在外交政策上倾向于传统的共和党路线，但也适应了特朗普的风格。他主要关注对抗中国的影响力，推动针对中国的投资限制和技术封锁立法。他在国务院人事确认和条约审议上拥有否决权 41。
29,苏珊·柯林斯,Susan Collins,"参议院拨款委员会主席 (Chair, Senate Appropriations Committee)",美国参议院 (R-ME),作为温和派共和党人，柯林斯执掌“钱袋子”。她是特朗普激进削减开支计划的主要立法障碍之一。她倾向于维护现有机构的运转资金，并经常与民主党人达成妥协以避免政府关门。她是参议院中为数不多的能够对白宫说“不”的关键人物 37。
30,迈克·约翰逊,Mike Johnson,众议院议长 (Speaker of the House),美国众议院 (R-LA),约翰逊在2025年初经历了艰难的议长选举后保住了职位。他依靠特朗普的支持压制了党内极右翼的叛乱。他的议程完全服务于“美国优先”，在社会议题（如反堕胎、反LGBTQ+权利）上立场强硬，并推动通过了限制联邦支出的预算法案 44。
31,史蒂夫·斯卡利斯,Steve Scalise,众议院多数党领袖 (House Majority Leader),美国众议院 (R-LA),斯卡利斯是众议院的战术指挥官，负责安排立法日程。他确保所有委员会主席的行动与领导层的战略一致，特别是在能源法案和边境安全拨款方面，他是确保共和党微弱多数能够有效运作的关键 47。
32,汤姆·科尔,Tom Cole,"众议院拨款委员会主席 (Chairman, House Appropriations Committee)",美国众议院 (R-OK),科尔是一位资深的机构主义者，他负责将马斯克DOGE委员会提出的削减建议转化为具体的拨款法案。他在这一过程中面临着来自党内强硬派（要求更多削减）和参议院温和派的双重压力 48。
33,杰森·史密斯,Jason Smith,"众议院筹款委员会主席 (Chairman, House Ways and Means Committee)",美国众议院 (R-MO),史密斯是众议院民粹主义经济政策的代言人。他主张利用税收政策惩罚那些推行ESG或将工作外包的公司。他是推动2025年税改法案的核心人物，主张大幅提高关税并将收入用于国内减税 51。
34,布雷特·加斯里,Brett Guthrie,"众议院能源和商业委员会主席 (Chairman, House Energy and Commerce Committee)",美国众议院 (R-KY),加斯里掌管着管辖范围最广的委员会，涉及医疗、能源、电信和科技。他在2026年的重点是推动医疗价格透明化、削弱大型科技公司的内容审核权，以及通过立法废除拜登时期的环保法规，为化石燃料行业松绑 54。
35,吉姆·乔丹,Jim Jordan,"众议院司法委员会主席 (Chairman, House Judiciary Committee)",美国众议院 (R-OH),乔丹是国会中的首席“调查官”。他利用传票权对拜登家族、负责调查特朗普的检察官以及所谓的“审查工业复合体”（指科技公司与学术机构）进行无休止的调查，为特朗普的政治报复提供立法部门的弹药 47。
36,詹姆斯·科默,James Comer,"众议院监督与问责委员会主席 (Chairman, House Oversight Committee)",美国众议院 (R-KY),科默的角色与乔丹类似，但他更侧重于政府内部的浪费和腐败调查。他与马斯克的DOGE委员会紧密配合，曝光联邦机构的低效案例，为大规模裁员制造舆论支持 47。
37,约翰·罗伯茨,John Roberts,美国首席大法官,美国最高法院,罗伯茨试图维护法院的机构合法性，但在激进的右翼多数派面前，他往往难以控制局势。他在行政权扩张问题上持谨慎态度，但在限制行政机构监管权（Chevron原则已被推翻）方面与保守派保持一致 58。
38,克拉伦斯·托马斯,Clarence Thomas,联席大法官,美国最高法院,托马斯是目前最高法院最具影响力的法官。他的原旨主义法理学现在是法院的主流。他主导了关于枪支权利扩张和削弱联邦机构权力的判决，直接服务于共和党的长期目标 58。
39,萨缪尔·阿利托,Samuel Alito,联席大法官,美国最高法院,阿利托是法院中坚定的文化保守派。他在涉及宗教自由、反堕胎和反LGBTQ+权利的案件中撰写了最强硬的意见书。他是特朗普社会议程在司法层面的最大盟友 58。
40,布雷特·卡瓦诺,Brett Kavanaugh,联席大法官,美国最高法院,卡瓦诺通常处于保守派阵营的中间位置，他在涉及总统豁免权和行政特权的案件中起着关键作用，确保了行政分支在法律战中的优势 59。
41,艾米·科尼·巴雷特,Amy Coney Barrett,联席大法官,美国最高法院,巴雷特虽然保守，但展现出一定的独立性，有时在程序问题上与极端保守派分道扬镳。即便如此，她在推翻罗诉韦德案后的后续案件中，依然是维护州级堕胎禁令的关键一票 59。
42,尼尔·戈萨奇,Neil Gorsuch,联席大法官,美国最高法院,戈萨奇是法院中的自由意志主义者。他极度怀疑行政机构的立法权，致力于解构“行政国家”，这与特朗普政府削减监管的目标高度契合 59。
43,杰罗姆·鲍威尔,Jerome Powell,主席,联邦储备系统 (Federal Reserve),鲍威尔的任期将于2026年5月结束，这使他成为跛脚鸭，但他依然是全球金融稳定的锚。他必须在抗击通胀（尤其是关税引发的二次通胀）与白宫要求降息的政治压力之间保持独立。特朗普政府对他持续的公开攻击，使得美联储的每次决策都充满政治风险 22。
44,杰米·戴蒙,Jamie Dimon,董事长兼首席执行官,摩根大通 (JPMorgan Chase),戴蒙依然是华尔街的非官方代言人。他务实地与特朗普政府合作，支持去监管，但也公开警告孤立主义和财政赤字的危险。在2026年初的财报电话会议上，他强调美国经济的韧性，同时为美联储的独立性辩护 64。
45,大卫·所罗门,David Solomon,董事长兼首席执行官,高盛 (Goldman Sachs),所罗门带领高盛从消费者银行业务撤退，重新专注于投行和资产管理。他积极适应新的并购（M&A）环境——虽然反垄断审查依然存在，但相比拜登时期已有所放松。他也是推动员工全职回办公室工作的坚定支持者 67。
46,泰德·皮克,Ted Pick,董事长兼首席执行官,摩根士丹利 (Morgan Stanley),皮克在2025年接任董事长后，进一步巩固了摩根士丹利在财富管理领域的领导地位。他专注于为客户提供在地缘政治动荡时期的资产配置建议，特别是在应对关税冲击方面 70。
47,布莱恩·莫伊尼汉,Brian Moynihan,董事会主席兼首席执行官,美国银行 (Bank of America),莫伊尼汉坚持“负责任增长”战略，注重消费者业务的稳定性。他的数据是判断美国消费者健康状况的风向标。面对政治压力，他小心翼翼地处理银行的ESG政策，避免成为右翼攻击的目标 73。
48,简·弗雷泽,Jane Fraser,董事会主席兼首席执行官,花旗集团 (Citigroup),作为华尔街主要银行中唯一的女性CEO，弗雷泽在2025年完成了花旗的大规模重组和裁员。她不仅要提升银行的盈利能力，还要应对因为花旗庞大的国际业务网络而带来的地缘政治风险 75。
49,查理·沙夫,Charlie Scharf,首席执行官,富国银行 (Wells Fargo),沙夫的主要任务依然是解除美联储对富国银行的资产上限限制。在特朗普政府倾向去监管的背景下，这被视为一个关键的时间窗口 79。
50,拉里·芬克,Larry Fink,董事长兼首席执行官,贝莱德 (BlackRock),芬克处于“反ESG”风暴的中心。为了保护贝莱德管理的数万亿美元资产，他已将修辞转向“能源实用主义”，即同时投资化石燃料和新能源，试图修复与红州养老基金的关系 67。
51,埃隆·马斯克,Elon Musk,CEO / 创始人,Tesla / SpaceX / xAI / X,（见行政部分）。作为商人，马斯克的企业帝国与联邦政策深度绑定。SpaceX垄断了NASA和国防部的发射任务，Tesla受益于针对中国电动车的关税壁垒，X则成为右翼政治动员的核心平台。他是“国家资本主义”在美国的新形态代表 9。
52,黄仁勋,Jensen Huang,首席执行官,英伟达 (Nvidia),黄仁勋掌管着AI时代的“石油”——GPU芯片。在中美科技战升级的背景下，他必须严格遵守美国商务部的出口管制，同时满足美国科技巨头对算力的无限渴求。英伟达的市值和战略地位使其成为国家安全讨论的焦点 82。
53,蒂姆·库克,Tim Cook,首席执行官,苹果 (Apple),库克面临着巨大的地缘政治压力。特朗普政府要求加速供应链移出中国，这对苹果的生产体系构成严峻挑战。同时，他通过推出集成AI功能的iPhone 17等产品，试图在AI终端侧保持领先 81。
54,萨提亚·纳德拉,Satya Nadella,董事长兼首席执行官,微软 (Microsoft),纳德拉将微软定位为美国政府的AI合作伙伴，深度参与国防和情报部门的云服务建设。通过与OpenAI的合作，微软在生成式AI领域保持主导地位，但也面临着对其市场垄断力量的持续关注 83。
55,桑达尔·皮查伊,Sundar Pichai,首席执行官,Alphabet (Google),皮查伊正处于司法部反垄断诉讼的风暴眼中（尽管政府换届，但针对谷歌垄断的法律行动仍在继续）。他必须证明谷歌没有在搜索结果中歧视保守派内容，同时在AI领域追赶微软和OpenAI 81。
56,马克·扎克伯格,Mark Zuckerberg,首席执行官,Meta (Facebook),扎克伯格通过拥抱“开源AI”策略，试图赢得自由意志主义者和技术乐观派的支持。他试图让Meta远离政治新闻，专注于Reels和AI助手，以避免成为华盛顿的靶子 82。
57,安迪·贾西,Andy Jassy,总裁兼首席执行官,亚马逊 (Amazon),贾西掌管着美国经济的物流骨干。在通胀压力下，亚马逊的定价能力成为关键的经济缓冲。同时，AWS作为AI基础设施的提供商，正与微软争夺政府合同 81。
58,山姆·奥特曼,Sam Altman,首席执行官,OpenAI,奥特曼是AI发展的代言人。他游走于华盛顿，游说制定有利于现任巨头的AI监管框架。他承诺的AGI（通用人工智能）被视为维持美国科技霸权的关键 82。
59,达伦·伍兹,Darren Woods,董事长兼首席执行官,埃克森美孚 (ExxonMobil),伍兹是化石燃料复兴的受益者，但他与特朗普在委内瑞拉问题上发生冲突，称该国“不可投资”，显示出资本逻辑与政治意图的博弈。他利用高油价带来的利润投资碳捕获技术，试图在能源转型中占据主导 86。
60,迈克·沃思,Mike Wirth,董事长兼首席执行官,雪佛龙 (Chevron),沃思获得了董事会的退休年龄豁免，继续掌舵雪佛龙。他积极响应政府的增产号召，专注于二叠纪盆地的开发。雪佛龙通过收购赫斯（Hess）等公司进一步整合了上游资源 89。
61,约翰·弗纳,John Furner,总裁兼首席执行官,沃尔玛 (Walmart Inc.),2026年2月接替董明伦（Doug McMillon）上任，弗纳掌管着美国最大的私营雇主。他面临的最大挑战是如何在关税上涨的背景下保持低价，这是沃尔玛的核心竞争力。他大力推动供应链自动化和AI应用以降低成本 92。
62,大卫·乔伊纳,David Joyner,总裁兼首席执行官,CVS Health,乔伊纳近期上任，试图扭转CVS的颓势。他正面临国会关于药品福利管理（PBM）改革的立法压力，这直接威胁到CVS的核心利润来源 95。
63,史蒂芬·赫姆斯利,Stephen Hemsley,首席执行官,联合健康集团 (UnitedHealth Group),在前CEO安德鲁·维蒂（Andrew Witty）因高管Brian Thompson遇刺案后的动荡离职后，赫姆斯利于2025年5月回归重掌大局。他需要稳定这家医疗巨头，应对网络攻击的后续影响以及HHS新领导层对医疗行业的敌意 97。
64,马克·汤普森,Mark Thompson,董事长兼首席执行官,CNN,汤普森正试图将CNN转型为“数字优先”的媒体，推出流媒体新闻服务。在特朗普时代，CNN面临着来自白宫的直接敌意和访问限制，汤普森的任务是在收视率下滑的背景下重塑品牌公信力 99。
65,苏珊·斯科特,Suzanne Scott,首席执行官,FOX News Media,斯科特掌管着保守派最重要的喉舌。她必须小心维护与特朗普的关系，同时应对来自更右翼媒体（如Newsmax）的竞争。福克斯新闻依然是共和党选民的主要信息来源，其黄金时段节目的叙事直接影响总统的民调 103。
66,约瑟夫·卡恩,Joseph Kahn,执行主编,纽约时报 (The New York Times),卡恩坚持《纽约时报》的“独立新闻”原则，拒绝将其转变为纯粹的“抵抗派”刊物，这引起了左翼读者的不满。他领导下的时报继续挖掘特朗普政府的内部运作，是记录这一时代最重要的文字机构 105。
67,马特·默里,Matt Murray,执行主编,华盛顿邮报 (The Washington Post),接替萨利·巴兹比（Sally Buzbee）后，默里在出版人威廉·刘易斯的指导下重组邮报编辑室。他新设立了“未来”、“政治与政府”等部门，试图在贝索斯拥有的这份报纸上恢复财务可持续性和新闻影响力 109。
68,艾玛·塔克,Emma Tucker,总编辑,华尔街日报 (The Wall Street Journal),塔克为这份商业报纸带来了更数字化、更犀利的风格。在默多克帝国的版图中，《华尔街日报》的新闻版块保持着客观性，为商界提供关于关税和经济政策的准确情报，与其保守的评论版形成互补 112。
69,约翰·米克尔思韦特,John Micklethwait,总编辑,彭博新闻社 (Bloomberg News),米克尔思韦特掌管着全球金融终端的新闻流。他负责确保彭博在报道中国经济和美国制裁时保持中立和精准，这对于依赖数据的全球投资者至关重要 115。
70,乔·罗根,Joe Rogan,主持人,The Joe Rogan Experience,罗根是美国最具影响力的媒体人，其播客受众远超任何有线电视新闻台。他为反建制观点提供平台，深刻影响了年轻男性选民的政治倾向，是“特朗普联盟”文化基础的重要组成部分 116。
71,塔克·卡尔森,Tucker Carlson,主持人,The Tucker Carlson Show / Tucker Carlson Network,被福克斯解雇后，卡尔森在X（推特）上建立了更大的影响力。他扮演着“影子国务卿”的角色，采访普京等外国领袖，推动孤立主义和民族主义叙事，直接影响共和党基层的外交观 116。
72,莱克斯·弗里德曼,Lex Fridman,主持人,Lex Fridman Podcast,弗里德曼通过长对话连接了科技精英（如马斯克、奥特曼）与大众。他的播客是探讨AI伦理、未来战争和人类命运的核心场所，这种温和、理性的风格使其成为极端化环境中的独特存在 116。
73,凯文·罗伯茨,Kevin Roberts,总裁,传统基金会 (The Heritage Foundation),罗伯茨是“2025计划”的操盘手，为特朗普第二任期提供了详细的人事和政策蓝图。尽管竞选期间特朗普曾与其保持距离，但上任后大量政策（如削减公务员）均源自该基金会的建议。他是华盛顿最有权势的非民选保守派领袖 117。
74,罗伯特·多尔,Robert Doar,总裁,美国企业研究所 (AEI),多尔领导着中右翼建制派智库。虽然不如传统基金会激进，但AEI在经济政策和国防战略上提供了“受人尊敬”的理论支持，为共和党在国会的立法提供智力资源 120。
75,道格·哈姆林,Doug Hamlin,执行副总裁兼首席执行官,全国步枪协会 (NRA),哈姆林在韦恩·拉皮埃尔丑闻后接手NRA，致力于重建组织的政治影响力。在2026年中期选举前，他专注于动员持枪选民抵制州级的控枪立法，并确保联邦法院继续拓展第二修正案的适用范围 123。
76,克林特·普雷斯利,Clint Pressley,主席,南方浸信会 (Southern Baptist Convention - SBC),作为全美最大新教教派的领袖，普雷斯利定调了SBC 2026年年会的主题“行事为人要与蒙召的恩相称”（Walking Worthy）。他在维护教派内部团结的同时，动员福音派选民支持共和党的社会议程，是连接宗教与政治的关键人物 127。
77,亚伦·伯格纳,Aaron Burgner,主席,SBC牧师大会 (SBC Pastors' Conference),伯格纳负责组织成千上万名牧师的年度聚会，直接影响全美各地教会的讲道主题。他强调“在一起”（Together）的主题，试图在分裂的政治环境中维持宗教社群的凝聚力 129。
78,塞西莉亚·劳斯,Cecilia Rouse,总裁,布鲁金斯学会 (Brookings Institution),作为前拜登经济顾问委员会主席，劳斯领导着这家顶尖的中间派/自由派智库。布鲁金斯学会现在是民主党政策的流亡政府，负责通过数据和研究反驳特朗普的经济政策，并为未来的民主党执政储备人才 131。
79,尼拉·坦登,Neera Tanden,总裁兼首席执行官,美国进步中心 (Center for American Progress - CAP),坦登重新执掌CAP，使其成为进步派抵抗运动的战略指挥部。CAP负责制定对抗特朗普议程的具体政策替代方案，协调各类左翼团体在医疗、移民和气候问题上的反击 134。
80,迈克尔·弗罗曼,Michael Froman,总裁,外交关系委员会 (Council on Foreign Relations - CFR),弗罗曼代表了被特朗普蔑视的外交政策建制派。CFR致力于维护基于规则的国际秩序的理念，通过发布报告和举办论坛，试图在孤立主义浪潮中保留国际主义的火种 137。
81,安东尼·罗梅罗,Anthony D. Romero,执行总监,美国公民自由联盟 (ACLU),罗梅罗指挥着ACLU的法律大军，构成了对抗特朗普行政命令的“防火墙”。无论是针对大规模驱逐的禁令申请，还是对抗议权利的辩护，ACLU都是法律战的最前线 139。
82,亚历克西斯·麦吉尔·约翰逊,Alexis McGill Johnson,总裁兼首席执行官,美国计划生育联合会 (Planned Parenthood),在罗诉韦德案被推翻且联邦政府敌视堕胎权的背景下，约翰逊领导该组织在蓝州巩固服务网络，并为红州女性提供跨州医疗支持。她是生殖权利运动的核心战略家 142。
83,洛伦·布莱克福德,Loren Blackford,执行总监,塞拉俱乐部 (Sierra Club),在经历内部动荡后，布莱克福德于2025年接掌这一老牌环保组织。她领导草根环保运动对抗化石燃料扩张，通过诉讼和公众抗议阻碍能源部的新项目 145。
84,德里克·约翰逊,Derrick Johnson,总裁兼首席执行官,全国有色人种协进会 (NAACP),约翰逊领导NAACP对抗联邦层面对民权保护的削弱，特别是针对投票权限制和DEI项目的废除。他专注于动员黑人选民参与2026年中期选举 148。
85,丽兹·舒勒,Liz Shuler,主席,美国劳工联合会-产业工会联合会 (AFL-CIO),舒勒处于尴尬境地：共和党试图用贸易保护主义拉拢蓝领工人，同时在法律上削弱工会权力。她必须在这一分裂中维持工会的政治影响力，保护集体谈判权 150。
86,罗纳德·希克斯,Ronald Hicks,纽约总主教 (Archbishop of New York),纽约总教区,由教皇利奥十四世（Pope Leo XIV，注：资料中的未来教皇）于2025年底任命，希克斯将在2026年初就职。作为美国天主教在媒体之都的面孔，他倾向于关注社会正义和移民权利，这可能使他在某些议题上与特朗普政府及部分保守派主教产生张力 152。
87,加文·纽森,Gavin Newsom,州长,加利福尼亚州 (D),纽森将加州打造为“抵抗之州”。他利用加州庞大的经济体量制定比联邦更严格的排放标准，并与特朗普在税收、移民和医疗政策上展开全面对抗。他是民主党事实上的影子领袖 155。
