序号,中文名,英文名,头衔,所属组织
26,林赛·格雷厄姆,Lindsey Graham,"参议院预算委员会主席 (Chairman, Senate Budget Committee)",美国参议院 (R-SC)
27,查克·格拉斯利,Chuck Grassley,"参议院司法委员会主席 (Chairman, Senate Judiciary Committee)",美国参议院 (R-IA)
28,吉姆·里施,Jim Risch,"参议院外交关系委员会主席 (Chairman, Senate Foreign Relations Committee)",美国参议院 (R-ID)
29,苏珊·柯林斯,Susan Collins,"参议院拨款委员会主席 (Chair, Senate Appropriations Committee)",美国参议院 (R-ME)
30,迈克·约翰逊,Mike Johnson,众议院议长 (Speaker of the House),美国众议院 (R-LA)
31,史蒂夫·斯卡利斯,Steve Scalise,众议院多数党领袖 (House Majority Leader),美国众议院 (R-LA)
32,汤姆·科尔,Tom Cole,"众议院拨款委员会主席 (Chairman, House Appropriations Committee)",美国众议院 (R-OK)
33,杰森·史密斯,Jason Smith,"众议院筹款委员会主席 (Chairman, House Ways and Means Committee)",美国众议院 (R-MO)
34,布雷特·加斯里,Brett Guthrie,"众议院能源和商业委员会主席 (Chairman, House Energy and Commerce Committee)",美国众议院 (R-KY)
35,吉姆·乔丹,Jim Jordan,"众议院司法委员会主席 (Chairman, House Judiciary Committee)",美国众议院 (R-OH)
36,詹姆斯·科默,James Comer,"众议院监督与问责委员会主席 (Chairman, House Oversight Committee)",美国众议院 (R-KY)
37,约翰·罗伯茨,John Roberts,美国首席大法官,美国最高法院
38,克拉伦斯·托马斯,Clarence Thomas,联席大法官,美国最高法院
39,萨缪尔·阿利托,Samuel Alito,联席大法官,美国最高法院
40,布雷特·卡瓦诺,Brett Kavanaugh,联席大法官,美国最高法院
41,艾米·科尼·巴雷特,Amy Coney Barrett,联席大法官,美国最高法院
42,尼尔·戈萨奇,Neil Gorsuch,联席大法官,美国最高法院
43,杰罗姆·鲍威尔,Jerome Powell,主席,联邦储备系统 (Federal Reserve)
44,杰米·戴蒙,Jamie Dimon,董事长兼首席执行官,摩根大通 (JPMorgan Chase)
45,大卫·所罗门,David Solomon,董事长兼首席执行官,高盛 (Goldman Sachs)
46,泰德·皮克,Ted Pick,董事长兼首席执行官,摩根士丹利 (Morgan Stanley)
47,布莱恩·莫伊尼汉,Brian Moynihan,董事会主席兼首席执行官,美国银行 (Bank of America),
48,简·弗雷泽,Jane Fraser,董事会主席兼首席执行官,花旗集团 (Citigroup)
49,查理·沙夫,Charlie Scharf,首席执行官,富国银行 (Wells Fargo)
50,拉里·芬克,Larry Fink,董事长兼首席执行官,贝莱德 (BlackRock)
51,埃隆·马斯克,Elon Musk,CEO / 创始人,Tesla / SpaceX / xAI / X
52,黄仁勋,Jensen Huang,首席执行官,英伟达 (Nvidia)
53,蒂姆·库克,Tim Cook,首席执行官,苹果 (Apple)
54,萨提亚·纳德拉,Satya Nadella,董事长兼首席执行官,微软 (Microsoft)
55,桑达尔·皮查伊,Sundar Pichai,首席执行官,Alphabet (Google)
56,马克·扎克伯格,Mark Zuckerberg,首席执行官,Meta (Facebook)
57,安迪·贾西,Andy Jassy,总裁兼首席执行官,亚马逊 (Amazon)
58,山姆·奥特曼,Sam Altman,首席执行官,OpenAI
59,达伦·伍兹,Darren Woods,董事长兼首席执行官,埃克森美孚 (ExxonMobil),
60,迈克·沃思,Mike Wirth,董事长兼首席执行官,雪佛龙 (Chevron)
61,约翰·弗纳,John Furner,总裁兼首席执行官,沃尔玛 (Walmart Inc.)
62,大卫·乔伊纳,David Joyner,总裁兼首席执行官,CVS Health
63,史蒂芬·赫姆斯利,Stephen Hemsley,首席执行官,联合健康集团 (UnitedHealth Group)
64,马克·汤普森,Mark Thompson,董事长兼首席执行官,CNN
65,苏珊·斯科特,Suzanne Scott,首席执行官,FOX News Media
66,约瑟夫·卡恩,Joseph Kahn,执行主编,纽约时报 (The New York Times)
67,马特·默里,Matt Murray,执行主编,华盛顿邮报 (The Washington Post)
68,艾玛·塔克,Emma Tucker,总编辑,华尔街日报 (The Wall Street Journal)
69,约翰·米克尔思韦特,John Micklethwait,总编辑,彭博新闻社 (Bloomberg News)
70,乔·罗根,Joe Rogan,主持人,The Joe Rogan Experience
71,塔克·卡尔森,Tucker Carlson,主持人,The Tucker Carlson Show / Tucker Carlson Network
72,莱克斯·弗里德曼,Lex Fridman,主持人,Lex Fridman Podcast
73,凯文·罗伯茨,Kevin Roberts,总裁,传统基金会 (The Heritage Foundation)
74,罗伯特·多尔,Robert Doar,总裁,美国企业研究所 (AEI)
75,道格·哈姆林,Doug Hamlin,执行副总裁兼首席执行官,全国步枪协会 (NRA)
76,克林特·普雷斯利,Clint Pressley,主席,南方浸信会 (Southern Baptist Convention - SBC)
77,亚伦·伯格纳,Aaron Burgner,主席,SBC牧师大会 (SBC Pastors' Conference)
78,塞西莉亚·劳斯,Cecilia Rouse,总裁,布鲁金斯学会 (Brookings Institution)
79,尼拉·坦登,Neera Tanden,总裁兼首席执行官,美国进步中心 (Center for American Progress - CAP)
80,迈克尔·弗罗曼,Michael Froman,总裁,外交关系委员会 (Council on Foreign Relations - CFR)
81,安东尼·罗梅罗,Anthony D. Romero,执行总监,美国公民自由联盟 (ACLU)
82,亚历克西斯·麦吉尔·约翰逊,Alexis McGill Johnson,总裁兼首席执行官,美国计划生育联合会 (Planned Parenthood)
83,洛伦·布莱克福德,Loren Blackford,执行总监,塞拉俱乐部 (Sierra Club)
84,德里克·约翰逊,Derrick Johnson,总裁兼首席执行官,全国有色人种协进会 (NAACP)
85,丽兹·舒勒,Liz Shuler,主席,美国劳工联合会-产业工会联合会 (AFL-CIO)
86,罗纳德·希克斯,Ronald Hicks,纽约总主教 (Archbishop of New York),纽约总教区
87,加文·纽森,Gavin Newsom,州长,加利福尼亚州 (D)
88,凯西·霍赫尔,Kathy Hochul,州长,纽约州 (D)
89,JB·普利兹克,JB Pritzker,州长,伊利诺伊州 (D)
90,佐兰·曼达尼,Zohran Mamdani,市长,纽约市 (D)
91,凯伦·巴斯,Karen Bass,市长,洛杉矶市 (D)
92,布兰登·约翰逊,Brandon Johnson,市长,芝加哥市 (D),
93,罗恩·德桑蒂斯,Ron DeSantis,州长,佛罗里达州 (R),
94,格雷格·阿博特,Greg Abbott,州长,得克萨斯州 (R)
95,莎拉·赫卡比·桑德斯,Sarah Huckabee Sanders,州长,阿肯色州 (R)
96,布莱恩·坎普,Brian Kemp,州长,佐治亚州 (R)
97,格伦·杨金,Glenn Youngkin,州长（至2026年1月）,弗吉尼亚州 (R)
98,约翰·惠特迈尔,John Whitmire,市长,休斯敦市 (D)
99,弗朗西斯·苏亚雷斯,Francis Suarez,市长,迈阿密市 (R)
100,马蒂·帕克,Mattie Parker,市长,沃思堡市 (R)
