id,name,ChineseName,dateOfBirth,gender,currentRole,organization,party,education,careerHistory,bio,sources,slug
024,Ted Cruz,泰德·克鲁兹,1970-12-22,男,参议院商业、科学和交通委员会主席,047,,毕业于普林斯顿大学，获文学学士学位；后于哈佛法学院获得法学博士学位。,"乔治·W·布什政府政策顾问（具体时间不详）。  
德克萨斯州总检察长（2003-2008年）。  
德克萨斯州联邦参议员（2013年至今）。  
参议院商务委员会主席（2025年至今）。","拉斐尔·爱德华·""泰德""·克鲁兹（生于1970年12月22日）是美国政治人物及律师，自2013年起担任德克萨斯州联邦参议员。作为共和党成员，他自2025年起担任参议院商务委员会主席。克鲁兹出生于加拿大阿尔伯塔省卡尔加里市，母亲是拥有爱尔兰与意大利血统的美国人，父亲为古巴裔移民。其父拉斐尔·克鲁兹于1957年离开古巴，后获得政治庇护并归化美国国籍。泰德·克鲁兹于2014年正式放弃加拿大公民身份，2001年与海蒂·尼尔森结为夫妇。

克鲁兹先后毕业于普林斯顿大学（获文学士学位）与哈佛法学院（获法学博士学位）。其政治生涯始于担任乔治·W·布什政府的政策顾问。2003年至2008年间，经时任德州总检察长格雷格·阿博特任命，他担任德州副总检察长一职。

2012年克鲁兹当选联邦参议员，成为德州首位拉丁裔联邦参议员。在参议院中，他始终在经济与社会政策领域持保守立场。2013年联邦政府停摆事件中，他为迫使国会与巴拉克·奥巴马总统撤销《平价医疗法案》拨款发挥主导作用。2018年他在选举中击败民主党候选人贝托·奥罗克获得连任，并于2024年战胜众议员科林·奥尔雷德赢得第三个任期。

2016年克鲁兹角逐共和党总统候选人提名，成为唐纳德·特朗普的重要竞争对手。在经历初期保留支持态度后，他于特朗普首个总统任期内转变为强力支持者。2021年，他对乔·拜登2020年总统选举胜利的认证程序提出异议。

作为参议员，克鲁兹公开表明要成为以色列的主要捍卫者。2025年，他主导起草并推动《下架法案》经唐纳德·特朗普总统签署生效，同时提出设立后来演变为""特朗普账户""的法案提案。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Ted_Cruz"", ""reliability"": ""high""}]",ted-cruz
025,Roger Wicker,罗杰·威克,1951-07-05,男,参议院军事委员会主席,047,,1973年毕业于密西西比大学，获新闻学与政治学学士学位；1975年获密西西比大学法学院法学博士学位。,"1980年：担任美国众议员特伦特·洛特的众议院规则委员会法律顾问。  
1988-1995年：密西西比州第六选区州参议员。  
1995-2007年：密西西比州第一国会选区美国众议员。  
2007年至今：密西西比州美国参议员，于2007年获任命，2008年赢得特别选举，并于2012年、2018年和2024年连任。现任参议院军事委员会主席。","罗杰·弗雷德里克·威克（Roger Frederick Wicker，1951年7月5日出生）是美国政治家、律师及前空军军官，自2007年起担任密西西比州资深联邦参议员。作为共和党成员，其政治生涯始于1980年代。自密西西比大学及其法学院毕业后，他于1976年至1980年在美国空军服役，后持续在空军预备役服役至2003年，以中校军衔退役。早期曾担任众议院规则委员会中众议员特伦特·洛特的政治顾问。

威克于1987年首次当选公职，1988年至1994年任职于密西西比州参议院。1994年，他当选为联邦众议员，接替长期任职的民主党人杰米·惠滕，代表密西西比州第一国会选区。1995年至2007年任职众议院期间，他曾任众议院拨款委员会委员、共和党副党鞭，并担任1994年当选的大型共和党新生议员团主席。

2007年12月，威克被密西西比州州长哈利·巴伯任命为联邦参议员，填补因参议员特伦特·洛特辞职产生的空缺。随后他在2008年特别选举中获胜以完成任期，并于2012年、2018年和2024年连续赢得完整任期选举。在参议院，威克曾担任全国共和党参议员委员会主席（2015-2017年）等领导职务，并任共和党副党鞭。2018年起成为密西西比州资深参议员。

在第119届国会中，威克任职于四个委员会：商业、科学和运输委员会；环境与公共工程委员会；规则与行政委员会；以及由其担任主席的参议院军事委员会。其委员会职责还包括领导欧洲安全与合作委员会。他还参与多个国会连线组织，包括国会人权连线、参议院台湾连线，并担任罕见病连线及69号州际公路连线的联合主席。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Roger_Wicker"", ""reliability"": ""high""}]",roger-wicker
026,Lindsey Graham,林赛·格雷厄姆,1955-07-09,男,参议院预算委员会主席,047,,在南卡罗来纳大学获得文学学士学位和法学博士学位。,"曾任南卡罗来纳州众议院议员（1993年-1995年）。  
担任美国众议院南卡罗来纳州第三选区代表（1995年-2003年）。  
当选为南卡罗来纳州联邦参议员（2003年至今）。  
担任参议院司法委员会主席（2019年-2021年）。  
现任参议院预算委员会主席。","林赛·奥林·格雷厄姆（生于1955年7月9日）是美国政治人物与律师，自2003年起担任南卡罗来纳州联邦参议员，现为参议院预算委员会主席。作为共和党成员，他曾在2019年至2021年期间担任参议院司法委员会主席。格雷厄姆在南卡罗来纳大学获得文学学士学位及法学博士学位，1982年至1988年在美国空军法官助理总署部队服役，曾在欧洲担任辩护律师和首席检察官。后于国会任职期间加入美国空军预备役，晋升至上校军衔，并于2014年因功绩卓著获颁铜星勋章。

在进入参议院前，格雷厄姆曾任南卡罗来纳州众议院议员（1993–1995）和美国众议院议员（1995–2003），代表南卡罗来纳州第三国会选区。他于2002年首次当选参议员，并于2008年、2014年和2020年获得连任。

政治立场上，格雷厄姆是新保守主义者，以国防鹰派著称，主张强硬干预型外交政策。早期因在竞选资金改革、禁止水刑、总量控制与交易制度、移民改革及司法提名等议题上与民主党合作而闻名。他曾批评茶党运动，主张共和党应更具包容性。2015年，他寻求共和党总统候选人提名，但在初选开始前退出。2016年他曾公开批评唐纳德·特朗普的竞选，但在2017年会面后转为坚定盟友。

外交政策方面，格雷厄姆频繁批评奥巴马政府，曾与参议员约翰·麦凯恩和乔·利伯曼共同推动美国军事干预，支持2002年伊拉克决议案及入侵伊拉克行动。在国内议题上，他的立场较为复杂：1996年投票支持《捍卫婚姻法案》，2006年支持反对同性婚姻的宪法修正案（后称修宪已不可行）；2009年曾联合发起气候法案框架，后撤回支持并质疑相关科学依据；2020年发起《促进气候解决方案法案》；2023年联合提出碳关税提案《外国污染费法案》。

关于2016年大选俄罗斯干预调查，格雷厄姆于2018年与参议员查克·格拉斯利共同建议对斯蒂尔档案作者克里斯托弗·斯蒂尔提出指控。他还曾推动立法，旨在防止特别检察官罗伯特·穆勒被无故解职。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Lindsey_Graham"", ""reliability"": ""high""}]",lindsey-graham
027,Chuck Grassley,查克·格拉斯利,1933-09-17,男,参议院司法委员会主席,047,,1951年毕业于新哈特福德社区高中。1955年获爱荷华州立师范学院（现北爱荷华大学）学士学位，1956年获该校政治学硕士学位。曾在爱荷华大学攻读政治学博士学位，但未完成学业。,"曾任职于爱荷华州众议院（1959–1975年）。  
曾任职于美国众议院（1975–1981年）。  
自1981年起担任爱荷华州美国参议员。  
曾任美国参议院临时议长（2019–2021年，并于2025年起再次担任）。  
于2023年成为美国参议院第45任资深议员。","查尔斯·欧内斯特·格拉斯利（生于1933年9月17日）是美国政治家，自1981年起担任爱荷华州资深联邦参议员。作为共和党成员，他是国会历史上任职时间最长的共和党人，也是当前最年长的在任美国参议员。格拉斯利曾担任重要领导职务，包括于2019年至2021年及2025年至今两度出任美国参议院临时议长。2023年1月帕特里克·莱希退休后，他成为参议院最资深成员，即美国参议院院长。

他的政治生涯始于爱荷华州众议院（1959-1975年），随后于1975年至当选参议员前连任三届美国众议员。在漫长的参议院任期内，格拉斯利曾主持多个重要委员会，包括财政委员会（三度担任主席）、司法委员会、老龄问题特别委员会及毒品控制核心小组。在第118届国会中，他担任农业、营养与林业委员会成员，财政委员会首席成员，预算委员会首席成员，司法委员会成员，并兼任国际毒品控制核心小组联合主席。

格拉斯利以参议院投票记录著称，曾创下连续27年零8个月未缺席唱名表决的纪录（共8,927次投票），该纪录持续至2020年11月。其参议院生涯累计投票数已超12,000次。

政策立场方面：他自认反对堕胎，于2019年联合发起《疼痛感知未出生儿童保护法案》，2022年支持推翻罗诉韦德案判决。在农业与能源领域，他是联邦乙醇补贴与风能的重要倡导者，1992年起草联邦风能税收抵免政策，并多次批评环保署对生物燃料法规的处理方式。反垄断方面，他于2021年联合提出《美国创新与在线选择法案》。他支持废除遗产税，认为该税制损害农民与小企业主利益。格拉斯利已提交文件，将在2028年竞选第九个参议员任期。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Chuck_Grassley"", ""reliability"": ""high""}]",chuck-grassley
028,Jim Risch,吉姆·里施,1943-05-03,男,参议院外交关系委员会主席,047,,曾就读于威斯康星大学密尔沃基分校（1961-1963年），后转学至爱达荷大学，于1965年获林学学士学位，1968年获法学博士学位。,"1970年当选埃达县检察官。  
1974年至1988年担任爱达荷州参议员，1995年至2002年再次担任。  
2003年至2006年任爱达荷州副州长，2006年5月至2007年1月任州长。  
2007年至2009年再次担任副州长。  
2008年当选爱达荷州美国联邦参议员，并连任至今。","詹姆斯·埃洛伊·里施（James Elroy Risch，1943年5月3日出生）是美国律师与政治家，自2009年起担任爱达荷州联邦参议员（共和党籍）。其政治生涯跨越五十余年，始于爱达荷州地方政坛。里施出生于威斯康星州密尔沃基市，1960年代初移居爱达荷州，1965年获爱达荷大学林业学学士学位，1968年获该校法学博士学位。1970年，27岁的里施当选埃达县检察官，开启从政之路，任职期间同时在博伊西州立学院教授刑事司法课程。

1974年里施首次当选爱达荷州参议员，任职至1988年，期间曾担任多数党领袖、临时议长等领导职务。短暂离开公职后，他于1995年被再度任命为州参议员，任职至2002年。2002年当选爱达荷州副州长，2006年5月因州长德克·肯普索恩辞职而继任州长，完成剩余任期。在担任第31任州长的短暂任期内，他召集特别立法会议推动财产税改革，并签署了关于雇员公民身份核查的行政命令。2007年至2009年，他在州长布奇·奥特任内重返副州长职位。

里施于2008年当选联邦参议员，并于2014年、2020年获得连任。在参议院外交关系委员会任职期间，他现任该委员会主席。其外交政策行动包括：2018年联署《反以色列抵制法案》、2019年联署制裁土耳其法案、推动针对埃塞俄比亚及苏丹冲突的制裁措施。2024年，他主导发布主张强化北约的报告。作为政治保守派，里施反对堕胎并支持推翻罗诉韦德案判决。自1968年起与维姬·里施结为夫妇。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Jim_Risch"", ""reliability"": ""high""}]",jim-risch
029,Susan Collins,苏珊·柯林斯,1952-12-07,女,参议院拨款委员会主席,047,,1975年以优异成绩毕业于圣劳伦斯大学，获政府学学士学位。,"1975-1987年：美国众议员/参议员威廉·科恩的立法助理。  
1981-1987年：政府管理监督小组委员会办公室主任。  
1987年：缅因州专业与金融监管局专员。  
1992年：小企业管理局新英格兰地区主任。  
1993年：马萨诸塞州副州财政部长。  
1994年：缅因州州长共和党提名候选人。  
1994-1996年：哈森学院家族企业中心创始执行主任。  
1997年至今：缅因州美国参议员。  
2003-2007年：参议院国土安全与政府事务委员会主席。  
2015-2021年：参议院老龄问题特别委员会主席。  
2025年至今：参议院拨款委员会主席。","苏珊·玛格丽特·柯林斯（生于1952年12月7日）是美国政治家，自1997年起担任缅因州资深联邦参议员。作为共和党成员，她是缅因州任职时间最长的国会议员，也是共和党历史上任期最长的女性参议员。自2025年起，柯林斯担任参议院拨款委员会主席。

柯林斯出生于缅因州卡里布，毕业于圣劳伦斯大学。她的政治生涯始于1975年，担任参议员威廉·科恩的助理。随后她于1981年至1987年担任政府事务委员会政府管理监督小组委员会的幕僚长。1987年，约翰·R·麦凯南州长任命她为缅因州专业与金融监管局局长。1992年，乔治·H·W·布什总统任命她为小企业管理局波士顿地区办公室主任。1993年她担任马萨诸塞州副财政部长。

回到缅因州后，柯林斯于1994年成为共和党州长候选人，成为该职位首位主要政党女性提名人，但最终获得第三名。随后她成为哈森大学家族企业研究中心的创始主任。

柯林斯于1996年首次当选联邦参议员，此后每六年连任。她于2015年至2021年担任参议院老龄问题特别委员会主席，2003年至2007年担任参议院国土安全与政府事务委员会主席。她是缅因州国会代表团的资深成员，并在多届国会期间成为参议院唯一的新英格兰地区共和党人。

柯林斯被普遍视为温和派共和党人，常在参议院成为关键投票者。她是投票反对部分废除《平价医疗法案》的三名共和党人之一，也是唯一投票反对确认艾米·科尼·巴雷特出任最高法院大法官的共和党人，同时是投票确认凯坦吉·布朗·杰克逊的三名共和党人之一。她投票确认了布雷特·卡瓦诺。她反对《妇女健康保护法案》，并支持维持参议院立法通过的60票门槛。柯林斯是特朗普政府《减税与就业法案》的关键共和党赞成票。

在比尔·克林顿总统的弹劾审判中，她对两项指控均投票支持无罪。在唐纳德·特朗普的第一次弹劾审判中，她投票支持无罪。在其第二次弹劾审判中，她是七名投票认定特朗普煽动叛乱罪名成立的共和党人之一。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Susan_Collins"", ""reliability"": ""high""}]",susan-collins
030,Mike Johnson,迈克·约翰逊,1972-01-30,男,众议院议长,046,,毕业于Captain Shreve高中。1995年在路易斯安那州立大学获得工商管理学士学位，1998年在路易斯安那州立大学保罗·M·赫伯特法律中心获得法学博士学位。,"联盟捍卫自由律师（2002-2010年）。  
南方浸信会伦理与宗教自由委员会成员（2004-2012年）。  
路易斯安那州众议院议员（2015-2017年）。  
首次当选美国众议院路易斯安那州第四选区议员（2017年至今）。  
曾任共和党研究委员会主席（2019-2021年）及众议院共和党会议副主席（2021-2023年）。  
当选第56任众议院议长（2023年至今）。","詹姆斯·迈克尔·""迈克""·约翰逊（生于1972年1月30日）是美国律师及政治人物，自2023年10月25日起担任第56任美国众议院议长。作为共和党成员，他自2017年起代表路易斯安那州第四国会选区，目前处于第五个任期。约翰逊的政治生涯始于2015年当选路易斯安那州众议院议员，任职至2017年。他于2016年首次当选美国众议员，此后连任至今，2022年更在无对手竞争的情况下当选。

进入政界前，约翰逊是宪法律师。2002年至2010年间，他担任保守派基督教法律倡导组织""捍卫自由联盟""（Alliance Defending Freedom）的律师，其法律职业生涯专注于捍卫宗教自由、人类生命神圣性及传统婚姻。值得注意的是，他于2004年为路易斯安那州第一修正案（规定婚姻为一男一女结合）辩护，并于2015年代表""方舟主题公园""（Ark Encounter）对肯塔基州官员提起联邦诉讼。2004年至2012年，他在美南浸信会伦理与宗教自由委员会任职。

在国会期间，约翰逊担任多项领导职务：2019年至2021年担任国会最大保守派党团""共和党研究委员会""主席；2021年至2023年担任众议院共和党会议副主席。作为社会保守派，他支持全国禁止堕胎的法案，亦是147名投票推翻2020年总统选举结果的共和党议员之一。2023年10月凯文·麦卡锡被罢免后，他当选众议院议长，并于2025年以微弱优势连任完整任期。

约翰逊毕业于路易斯安那州什里夫波特市的什里夫船长高中，1995年获路易斯安那州立大学工商管理学士学位，1998年获该校保罗·M·赫伯特法律中心法学博士学位。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Mike_Johnson"", ""reliability"": ""high""}]",mike-johnson
031,Steve Scalise,史蒂夫·斯卡利斯,1965-10-06,男,众议院多数党领袖,046,,毕业于Archbishop Rummel High School，并在路易斯安那州立大学（LSU）获得理学学士学位，主修计算机科学，辅修政治学。,"1995-2007年：任职于路易斯安那州众议院。  
2007年：当选路易斯安那州参议院议员（任期四个月）。  
2008年至今：担任路易斯安那州第一国会选区联邦众议员。  
2013-2014年：任众议院共和党研究委员会主席。  
2014-2019年：任众议院多数党党鞭。  
2019-2023年：任众议院少数党党鞭。  
2023年至今：任众议院多数党领袖。","史蒂夫·斯卡利斯（Stephen Joseph Scalise，1965年10月6日出生）是美国共和党籍政治人物，自2023年起担任众议院多数党领袖，并于2008年起代表路易斯安那州第一国会选区担任联邦众议员。其选区涵盖新奥尔良大部分郊区及部分市区。在当选国会议员前，斯卡利斯曾于路易斯安那州参议院任职四个月，并担任三届路易斯安那州众议院议员。2013年至2014年，他担任众议院共和党研究委员会主席。2014年6月19日，斯卡利斯经共和党同僚推选为美国众议院多数党党鞭，并于8月1日就任，担任该职至2019年；2019年至2023年转任众议院少数党党鞭，成为自黑尔·博格斯以来首位担任多数党党鞭的路易斯安那州人。2017年，斯卡利斯出任路易斯安那州国会代表团团长。同年6月14日，他在国会棒球赛练习期间遭针对共和党的国内恐怖分子枪击重伤，经数月治疗后于9月28日重返国会。2023年10月，在凯文·麦卡锡被罢免后，斯卡利斯击败吉姆·乔丹获得共和党众议院议长提名，但因未能整合足够票源于次日退出竞选。

斯卡利斯出生于新奥尔良，毕业于鲁梅尔主教高中，后在巴吞鲁日的路易斯安那州立大学获得计算机科学学士学位，辅修政治学。在国会任职期间，他曾担任能源与商业委员会及其小组委员会成员，并任冠状病毒危机特别小组委员会首席成员。其参与的党团包括国会西部党团、共和党研究委员会、国会土耳其及土耳其裔美国人党团。重要立法行动包括：2011年联署《禁止网络盗版法案》、2013年投票反对重新授权《反妇女暴力法》、2013年发起《联邦通信委员会合并报告法案》、2017年投票支持《减税与就业法案》。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Steve_Scalise"", ""reliability"": ""high""}]",steve-scalise
032,Tom Cole,汤姆·科尔,1949-04-28,男,众议院拨款委员会主席,046,,1971年毕业于格林内尔学院，获历史学学士学位。1974年获耶鲁大学硕士学位，1984年获俄克拉荷马大学博士学位，两段学位均专攻英国历史方向。,"当选俄克拉荷马州参议员（1988-1991年）。  
担任俄克拉荷马州州务卿（1995-1999年）。  
当选美国众议院俄克拉荷马州第四国会选区代表（2003年至今）。  
2006年选举周期后担任全国共和党国会委员会（NRCC）主席。  
自2015年起担任众议院立法分支拨款小组委员会主席。","托马斯·杰弗里·科尔（1949年4月28日出生）是美国政治家，自2003年起担任俄克拉荷马州第四国会选区的联邦众议员。作为共和党成员，他目前担任众议院拨款委员会主席，是首位担任该职务的美国原住民及首位俄克拉荷马州人。科尔是奇克索族成员，截至2022年已成为国会历史上任职时间最长的原住民议员。他是国会中四名正式注册部落成员的原住民议员之一。

科尔的政治生涯始于俄克拉荷马州政府。追随其母亲海伦·科尔（首位当选俄克拉荷马州参议员的原住民）的脚步，他于1988年当选俄克拉荷马州参议员，任职至1991年。他在1980年代大部分时间担任俄克拉荷马州共和党主席。随后于1995年至1999年由弗兰克·基廷州长任命，担任第26任俄克拉荷马州州务卿，并参与了1995年俄克拉荷马城爆炸案的灾后恢复工作。在当选联邦众议员前，他曾担任政治顾问，并曾任全国共和党国会委员会执行主任。

科尔于2002年当选联邦众议员，保持着坚定的保守派投票记录，一贯反对堕胎、支持持枪权，同时秉持亲商立场，支持自由贸易、军队及退伍军人权益。在2006年选举周期后，他被众议院共和党会议选举担任全国共和党国会委员会主席。他是推动《反暴力侵害妇女法》中加强原住民妇女保护条款的主要倡导者，并长期致力于向国会议员普及美国原住民议题。他发起过多项立法提案，内容涵盖禁止使用公共资金资助政党全国代表大会、允许家庭教育材料享受税收抵免等。

科尔拥有格林内尔学院历史学学士学位、耶鲁大学硕士学位以及俄克拉荷马大学英国史博士学位，曾作为富布赖特学者在伦敦大学研修。有效立法中心将其评为第119届国会（2023-2025年）第三高效的众议院共和党人。他与妻子埃伦·科尔育有一子。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Tom_Cole"", ""reliability"": ""high""}]",tom-cole
033,Jason Smith,杰森·史密斯,1986-01-01,,众议院筹款委员会主席,046,,,,,"[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Jason_Smith"", ""reliability"": ""high""}]",jason-smith
034,Brett Guthrie,布雷特·加斯里,1964-02-18,男,众议院能源和商业委员会主席,046,,1987年毕业于美国西点军校，获数学经济学理学学士学位；1997年毕业于耶鲁大学管理学院，获公共与私营管理硕士学位。,"在肯塔基州坎贝尔堡第101空降师担任野战炮兵军官（具体时间不详）。  
Trace Die Cast公司副总裁（具体时间不详）。  
肯塔基州第32选区州参议员（1999–2008年）。  
肯塔基州第二国会选区联邦众议员（2009年至今）。  
众议院能源和商业委员会主席（第119届国会，现任）。","史蒂文·布雷特·格思里（生于1964年2月18日）是美国商人与政治家，自2009年起担任肯塔基州第二国会选区的联邦众议员。在第119届国会中，他担任众议院能源和商业委员会主席。格思里出生于阿拉巴马州佛罗伦萨，1987年获得美国西点军校数理经济学学士学位，1997年获得耶鲁大学管理学院公共与私营管理硕士学位。他曾在肯塔基州坎贝尔堡的101空降师担任野战炮兵军官，并曾担任汽车零部件供应商Trace Die Cast公司的副总裁。

格思里的政治生涯始于肯塔基州参议院，于1999年至2008年代表第32选区任职，期间担任经济发展、旅游和劳工委员会副主席，并主持交通委员会工作。2008年，他在击败民主党候选人戴维·博斯韦尔后，接替退休的众议员罗恩·刘易斯当选联邦众议员，此后多次以较大优势连任。

在国会任职期间，格思里长期服务于能源和商业委员会并担任现职。其立法行动包括：投票支持《2012财年国防授权法案》、2013年投票反对削减国家安全局经费、投票终止2013年联邦政府停摆。他曾提出《2013年失踪儿童援助重新授权法案》。2017年，他联合提出旨在改革教育资助的《繁荣法案》，并投票支持《减税与就业法案》。2022年，他曾批评乔·拜登总统的学生贷款减免计划。

格思里的政治立场包括支持废除并取代《平价医疗法案》，以及联署旨在限制医疗保险药品价格谈判权的法案。他是多个国会党团的成员，包括共和党研究委员会、气候解决方案党团、国会艺术党团、美日党团、罕见疾病党团以及国会土耳其与土耳其裔美国人党团。他与贝丝·克莱蒙斯结婚，育有三名子女并拥有三名孙辈。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Brett_Guthrie"", ""reliability"": ""high""}]",brett-guthrie
035,Jim Jordan,吉姆·乔丹,1964-02-17,男,众议院司法委员会主席,046,,1986年毕业于威斯康星大学麦迪逊分校，获经济学学士学位。随后在俄亥俄州立大学取得教育学硕士学位，并于2001年获得首都大学法学院法学博士学位。,"俄亥俄州立大学助理摔跤教练（1987-1995年）。  
当选俄亥俄州众议院议员（1995年）。  
当选俄亥俄州参议院议员（2001年）。  
美国俄亥俄州第四国会选区众议员（2007年至今）。  
众议院自由党团首任主席（2015-2017年）。  
众议院监督委员会首席成员（2019-2020年）。  
众议院司法委员会首席成员（2020-2023年）。  
众议院司法委员会主席（2023年至今）。","詹姆斯·丹尼尔·乔丹（生于1964年2月17日）是美国政治家，自2007年起担任俄亥俄州第四国会选区的联邦众议员。作为共和党成员，他目前正处于第十个任期。乔丹于2023年担任众议院司法委员会主席，此前在2020年至2023年期间担任该委员会首席成员。他曾在2019年至2020年担任众议院监督委员会首席成员。

从政前，乔丹是威斯康星大学麦迪逊分校的冠军级大学摔跤手，于1985年和1986年两次赢得NCAA第一级别全国锦标赛冠军。1987年至1995年，他在俄亥俄州立大学担任助理摔跤教练，期间队医理查德·施特劳斯对多名运动员实施性侵。多人指称乔丹知晓该虐待行为，但他始终予以否认。

乔丹的政治生涯始于俄亥俄州议会，1994年进入俄亥俄州众议院，2000年至2006年担任俄亥俄州参议员。2006年当选联邦众议员后，他成为保守派阵营的重要人物。他协助创立右翼民粹主义组织""众议院自由党团""并于2015年至2017年担任首任主席，2017年起担任副主席。他曾是众议院议长约翰·博纳的尖锐批评者，后者于2015年在该党团压力下辞职。

在国会期间，乔丹一直是前总统唐纳德·特朗普的密切盟友。特朗普执政时期，他试图诋毁对俄罗斯干预选举的调查，并通过静坐方式阻挠特朗普弹劾调查。2020年总统选举后，乔丹支持质疑选举结果的诉讼，并投票反对认证选举人团结果。他拒绝配合调查1月6日国会山骚乱事件的众议院特别委员会，该委员会于2022年向他发出传票。

乔丹多次参与众议院议长选举。他在2023年1月的选举中支持凯文·麦卡锡，但在同年麦卡锡被罢免后，乔丹于2023年10月成为共和党议长候选人。经过三轮投票未能获得足够支持后，他宣布退出提名。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Jim_Jordan"", ""reliability"": ""high""}]",jim-jordan
036,James Comer,詹姆斯·科默,1972-08-19,男,众议院监督与问责委员会主席,046,,1993年毕业于西肯塔基大学，获农业科学学士学位。,"2000-2012年：担任肯塔基州众议院议员。  
2012-2016年：担任肯塔基州农业专员。  
2016年至今：担任肯塔基州第一国会选区美国众议员。  
2023年至今：担任众议院监督委员会主席。","小詹姆斯·理查森·科默（1972年8月19日出生）是美国肯塔基州的政治人物。作为共和党成员，他自2016年起代表肯塔基州第一国会选区担任美国众议院议员。2023年起，他担任众议院监督委员会主席。其政治生涯始于肯塔基州政府：2000年至2012年任职于肯塔基州众议院（27岁首次当选），2012年至2016年担任肯塔基州农业厅长。任农业厅长期间，他主持肯塔基工业大麻委员会，通过起诉美国缉毒局允许向农民运送大麻种子等方式，推动重启该州工业大麻产业；创立""肯塔基自豪农场进校园""计划，并建立农业教育移动科学中心。2015年，科默竞选肯塔基州州长共和党提名，在初选中以微弱劣势败于马特·贝文。

2016年当选联邦众议员后，科默聚焦农业议题，是《大麻种植法案》原始联合提案人，该法案后被纳入《2018年农业法案》实现全美大麻合法化。新冠疫情期间，他联合提出《COVID-19儿童营养应对法案》以保障停课期间学生餐食供应。他投票支持《2017年减税与就业法案》。担任众议院监督委员会主席期间，科默主导对总统乔·拜登及其家族的调查，并在拜登退出2024年总统竞选后，将调查范围扩展至副总统卡玛拉·哈里斯与州长蒂姆·沃尔兹。截至2024年8月，其调查未发现拜登直接参与或从其家族商业活动中获利的证据。

科默是社会保守派，反对同性婚姻与堕胎，支持解除对古巴贸易禁运。从政前，他毕业于西肯塔基大学获农业学士学位，曾任肯塔基州未来农民协会主席，经营家庭农场，并担任银行董事及地方商会主席。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/James_Comer"", ""reliability"": ""high""}]",james-comer
